Word,PoS,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,AvrgOfYears,Level.Predicted.RF,Level.Predicted.NN,Level.Predicted.SVM
a,ADJ,1.56E-05,1.56E-05,1.52E-05,1.50E-05,1.54E-05,1.52E-05,1.45E-05,1.42E-05,1.51E-05,1.51E-05,B2,B1,B1
a,ADP,5.99E-09,6.17E-09,5.83E-09,6.60E-09,6.46E-09,7.49E-09,8.10E-09,5.80E-09,6.78E-09,6.58E-09,A1,A1,Unknown
a,ADV,3.57E-10,4.41E-10,6.39E-10,6.60E-10,2.72E-10,4.16E-10,7.18E-10,1.42E-09,7.70E-10,6.33E-10,C2,B1,C1
a,CONJ,1.88E-09,2.20E-09,1.04E-09,1.76E-09,1.09E-09,1.32E-09,1.96E-09,1.48E-09,2.87E-09,1.73E-09,A1,A2,A1
a,DET,0.01520815,0.015279964,0.015296367,0.015287488,0.015351235,0.015270548,0.015153889,0.015359147,0.015550266,0.015306339,A1,A1,B1
a,NOUN,2.95E-06,3.04E-06,2.80E-06,2.89E-06,2.96E-06,2.83E-06,2.96E-06,2.92E-06,3.32E-06,2.96E-06,A2,B2,B2
a,PRON,0,8.81E-11,7.99E-11,0,6.80E-11,0,6.53E-11,2.47E-10,0,6.09E-11,A1,A2,A2
a,VERB,1.43E-08,1.96E-08,1.97E-08,4.25E-09,4.08E-09,8.18E-09,6.14E-09,4.87E-09,6.93E-09,9.79E-09,A1,B2,B2
an,ADJ,1.52E-09,2.56E-09,3.19E-10,4.40E-10,1.29E-09,1.39E-10,1.83E-09,1.48E-09,2.05E-10,1.09E-09,C2,B2,B2
an,ADP,4.91E-09,6.34E-09,5.27E-09,3.89E-09,4.22E-09,5.75E-09,2.94E-09,2.84E-09,3.18E-09,4.37E-09,A1,A1,Unknown
an,ADV,0,0,0,0,0,0,0,0,0,0,C2,B1,C1
an,CONJ,1.19E-08,1.44E-08,1.09E-08,1.40E-08,1.65E-08,1.23E-08,1.44E-08,1.84E-08,3.44E-08,1.64E-08,A1,A2,A1
an,DET,0.002761101,0.002765839,0.002765907,0.002734439,0.00272407,0.002717198,0.002702543,0.00270636,0.002641027,0.002724276,A1,A1,B1
an,NOUN,8.16E-07,8.61E-07,8.36E-07,8.21E-07,9.60E-07,8.10E-07,8.58E-07,9.18E-07,1.34E-06,9.13E-07,A1,B2,Unknown
an,PRON,0,0,0,0,0,0,0,0,0,0,A2,A2,A2
an,VERB,0,0,0,0,0,0,0,0,0,0,C1,B2,C1
abandon,ADJ,0,0,0,0,0,0,0,0,0,0,C2,B2,B2
